month,domestic,external,total
Sep-13,1168115.36,889313.51,2057428.87
Oct-13,1174782.27,887991.23,2062773.5
Nov-13,1170053.22,912234.31,2082287.54
Dec-13,1189182.59,922369.15,2111551.74
Jan-14,1200901.86,920500.71,2121402.56
Feb-14,1229416.28,937328.35,2166744.63
Mar-14,1231183.1,940402.99,2171586.09
Apr-14,1216759.23,950981.15,2167740.39
May-14,1232041.55,957893.23,2189934.78
Jun-14,1284327.25,1085928.57,2370255.82
Jul-14,1296444.73,1089655.77,2386100.5
Aug-14,1281093.66,1090984.32,2372077.98
Sep-14,1260874.56,1087827.67,2348702.23
Oct-14,1254913.42,1088832.15,2343745.57
Nov-14,1303363.31,1088951.54,2392314.85
Dec-14,1307748.71,1170696.28,2478444.99
Jan-15,1334642.8,1163350.79,2497993.59
Feb-15,1353302.65,1296748.46,2650051.11
Mar-15,1397125.72,1278107.87,2675233.59
Apr-15,1415431.51,1326835.19,2742266.71
May-15,1407811.19,1381156.98,2788968.18
Jun-15,1420444.38,1408613.59,2829057.97
Jul-15,1418568.23,1473143.7,2891711.93
Aug-15,1403100.2,1530678.61,2933778.82
Sep-15,1388262.31,1550232.74,2938495.05
Oct-15,1454245.39,1490713.76,2944959.15
Nov-15,1516373.47,1562515.56,3078889.04
Dec-15,1540579.13,1615184.2,3155763.33
Jan-16,1522769.88,1654744.49,3177514.38
Feb-16,1605227.98,1646555.21,3251783.19
Mar-16,1646527.48,1665578.04,3312105.52
Apr-16,1689039.25,,
May-16,1750326.78,,
Jun-16,1815470.5,,
